bin,begin_seconds,end_seconds,v5_mean_admitted_active_segments,control_mean_admitted_active_segments,v5_mean_source_pending_segments,control_mean_source_pending_segments,v5_excess_active,v5_to_control_active_ratio
184,55200,55500,88.490000000,84.286000000,1.126666667,0.740000000,4.204000000,1.049877797
185,55500,55800,39.488666667,37.079333333,1.060000000,1.060000000,2.409333333,1.064977795
186,55800,56100,87.866000000,76.191333333,0.766000000,0.733333333,11.674666667,1.153228276
187,56100,56400,89.079333333,86.341333333,2.650000000,1.484666667,2.738000000,1.031711347
188,56400,56700,111.850666667,102.803333333,0.950000000,0.950000000,9.047333333,1.088006225
189,56700,57000,85.288666667,83.665333333,3.120666667,1.960666667,1.623333333,1.019402700
190,57000,57300,110.630666667,103.058666667,0.982000000,0.980000000,7.572000000,1.073472715
191,57300,57600,75.706666667,72.438000000,1.758666667,1.469333333,3.268666667,1.045123646
192,57600,57900,95.706000000,85.246000000,1.262000000,0.906666667,10.460000000,1.122703705
193,57900,58200,119.743333333,116.486666667,2.252000000,2.213333333,3.256666667,1.027957420
194,58200,58500,156.674666667,155.646666667,6.221333333,1.700000000,1.028000000,1.006604703
195,58500,58800,115.631333333,105.298000000,1.480000000,1.480000000,10.333333333,1.098134184
196,58800,59100,89.251333333,78.518000000,1.350000000,0.932000000,10.733333333,1.136699016
197,59100,59400,66.846000000,63.981333333,1.758666667,1.328000000,2.864666667,1.044773476
198,59400,59700,80.260666667,68.558666667,0.820000000,0.820000000,11.702000000,1.170685933
199,59700,60000,120.756666667,117.480666667,1.933333333,1.933333333,3.276000000,1.027885439
200,60000,60300,94.345333333,84.890666667,0.830000000,0.830000000,9.454666667,1.111374631
201,60300,60600,92.372000000,88.492666667,2.518000000,1.677333333,3.879333333,1.043837907
202,60600,60900,137.284666667,131.456666667,1.293333333,1.293333333,5.828000000,1.044334001
203,60900,61200,52.132666667,50.518000000,1.093333333,1.093333333,1.614666667,1.031962205
204,61200,61500,148.118666667,140.675333333,1.420000000,1.413333333,7.443333333,1.052911432
205,61500,61800,131.915333333,128.832000000,2.261333333,2.260000000,3.083333333,1.023932977
206,61800,62100,180.802000000,172.923333333,1.306666667,1.306666667,7.878666667,1.045561617
207,62100,62400,99.586666667,96.798000000,1.526666667,1.526666667,2.788666667,1.028809135
208,62400,62700,150.851333333,139.971333333,3.302666667,1.360000000,10.880000000,1.077730202
209,62700,63000,117.959333333,111.541333333,3.536666667,1.960000000,6.418000000,1.057539208
210,63000,63300,107.346000000,101.716000000,0.803333333,0.803333333,5.630000000,1.055350191
211,63300,63600,129.024666667,126.920000000,2.273333333,2.273333333,2.104666667,1.016582624
212,63600,63900,86.277333333,81.952666667,0.540000000,0.540000000,4.324666667,1.052770298
213,63900,64200,96.272666667,93.478666667,1.616666667,1.616666667,2.794000000,1.029889173
214,64200,64500,76.260666667,71.138666667,1.503333333,1.050666667,5.122000000,1.072000225
215,64500,64800,41.160000000,38.660000000,0.976666667,0.976666667,2.500000000,1.064666322
216,64800,65100,128.176666667,114.876666667,2.597333333,1.420000000,13.300000000,1.115776340
217,65100,65400,62.054000000,56.733333333,1.126666667,1.126666667,5.320666667,1.093783784
218,65400,65700,75.762000000,57.956000000,0.663333333,0.663333333,17.806000000,1.307233073
219,65700,66000,75.490000000,71.917333333,1.998666667,1.548666667,3.572666667,1.049677407
220,66000,66300,143.096000000,127.887333333,1.360000000,1.360000000,15.208666667,1.118922385
221,66300,66600,88.191333333,85.144000000,2.251333333,1.736666667,3.047333333,1.035790347
222,66600,66900,133.078666667,116.369333333,1.316666667,1.316666667,16.709333333,1.143588803
223,66900,67200,71.258000000,68.467333333,1.293333333,1.293333333,2.790666667,1.040759097
224,67200,67500,160.894000000,152.050000000,1.553333333,1.553333333,8.844000000,1.058165077
225,67500,67800,142.531333333,139.121333333,2.256666667,2.256666667,3.410000000,1.024510978
226,67800,68100,172.175333333,167.130666667,1.876666667,1.876666667,5.044666667,1.030183968
227,68100,68400,167.560666667,156.130666667,6.033333333,1.876666667,11.430000000,1.073207911
228,68400,68700,174.021333333,160.288000000,2.051333333,1.836666667,13.733333333,1.085679111
229,68700,69000,112.422000000,106.860666667,1.336666667,1.336666667,5.561333333,1.052042847
230,69000,69300,185.106666667,183.488666667,1.983333333,1.983333333,1.618000000,1.008817983
231,69300,69600,165.506666667,163.340666667,2.668666667,1.826666667,2.166000000,1.013260629
232,69600,69900,124.781333333,117.624666667,0.913333333,0.913333333,7.156666667,1.060843247
233,69900,70200,109.918000000,107.348000000,3.549333333,1.530000000,2.570000000,1.023940828
234,70200,70500,143.411333333,139.318000000,1.946666667,1.946666667,4.093333333,1.029381224
235,70500,70800,162.956666667,161.333333333,1.723333333,1.723333333,1.623333333,1.010061983
236,70800,71100,141.428000000,137.747333333,1.924000000,1.793333333,3.680666667,1.026720420
237,71100,71400,68.562000000,63.870000000,0.793333333,0.793333333,4.692000000,1.073461719
238,71400,71700,43.601333333,43.176000000,0.506666667,0.506666667,0.425333333,1.009851152
239,71700,72000,46.022666667,45.854000000,0.776666667,0.776666667,0.168666667,1.003678341
240,72000,72300,48.043333333,47.834000000,0.483333333,0.483333333,0.209333333,1.004376246
241,72300,72600,76.593333333,75.310000000,1.104666667,1.046666667,1.283333333,1.017040676
242,72600,72900,74.486666667,72.876666667,0.770666667,0.713333333,1.610000000,1.022092119
243,72900,73200,95.874000000,93.309333333,2.576666667,1.311333333,2.564666667,1.027485639
244,73200,73500,112.044666667,109.768000000,1.283333333,1.283333333,2.276666667,1.020740714
245,73500,73800,116.304666667,114.092666667,4.232000000,1.641333333,2.212000000,1.019387749
246,73800,74100,97.009333333,88.789333333,1.721333333,1.033333333,8.220000000,1.092578688
247,74100,74400,100.869333333,97.769333333,4.359333333,1.476000000,3.100000000,1.031707284
248,74400,74700,59.656666667,56.618000000,0.862000000,0.636000000,3.038666667,1.053669622
249,74700,75000,80.601333333,79.714666667,1.936666667,1.383333333,0.886666667,1.011123005
250,75000,75300,69.249333333,67.752666667,0.754666667,0.643333333,1.496666667,1.022090151
251,75300,75600,63.791333333,63.663333333,0.990000000,0.990000000,0.128000000,1.002010576
252,75600,75900,81.989333333,81.342000000,0.496666667,0.496666667,0.647333333,1.007958168
253,75900,76200,65.872000000,65.466666667,1.046666667,1.046666667,0.405333333,1.006191446
254,76200,76500,81.856000000,79.538000000,0.590000000,0.590000000,2.318000000,1.029143303
255,76500,76800,112.117333333,110.653333333,1.323333333,1.323333333,1.464000000,1.013230510
256,76800,77100,90.668666667,87.434666667,2.545333333,0.814666667,3.234000000,1.036987617
257,77100,77400,87.690666667,84.004666667,2.352000000,1.524666667,3.686000000,1.043878515
258,77400,77700,98.610000000,94.894000000,0.692000000,0.690000000,3.716000000,1.039159483
259,77700,78000,20.374000000,20.240666667,0.393333333,0.393333333,0.133333333,1.006587398
260,78000,78300,15.822000000,15.498666667,0.026666667,0.026666667,0.323333333,1.020862010
261,78300,78600,16.148000000,16.121333333,0.326666667,0.326666667,0.026666667,1.001654123
262,78600,78900,40.890666667,39.951333333,0.685333333,0.346666667,0.939333333,1.023511940
263,78900,79200,38.416666667,38.014000000,1.138666667,0.697333333,0.402666667,1.010592589
264,79200,79500,19.240666667,19.274000000,0.073333333,0.073333333,-0.033333333,0.998270554
265,79500,79800,31.462666667,30.948666667,0.990000000,0.514666667,0.514000000,1.016608147
266,79800,80100,30.120000000,29.310666667,0.626666667,0.282000000,0.809333333,1.027612246
267,80100,80400,8.180000000,8.180000000,0.126666667,0.126666667,0.000000000,1.000000000
268,80400,80700,32.937333333,32.038666667,1.061333333,0.388000000,0.898666667,1.028049440
269,80700,81000,31.148000000,30.285333333,1.113333333,0.454666667,0.862666667,1.028484635
270,81000,81300,3.666000000,3.663333333,0.000000000,0.000000000,0.002666667,1.000727934
271,81300,81600,2.976666667,2.976666667,0.046666667,0.046666667,0.000000000,1.000000000
272,81600,81900,2.110666667,2.110666667,0.000000000,0.000000000,0.000000000,1.000000000
273,81900,82200,25.984000000,25.500000000,0.761333333,0.308000000,0.484000000,1.018980392
