decision_id,runtime_bag_id,task_id,segment_id,source_node,goal_node,original_arrival_time,java_arrival_epoch,release_time,source_queue_delay_seconds,raw_arrival_to_release_delta_seconds,source_queue_rank,mapping_source
trace_highflow_4p0:1132:566,69,1132,1132:storage_out:g4irsf11_c2:trace_highflow_4p0,52,50,18454.495030104565,18454,20700.509800104566,2246.5098001045662,2246.0147700000016,0,g4irsf7_original_pass_time->pass_time
trace_highflow_4p0:2670:567,67,2670,2670:storage_in:g4irsf11_c3:trace_highflow_4p0,4,47,20674.354790449153,20674,20674.354790449153,0.35479044915337,0.0,0,g4irsf7_original_pass_time->pass_time
trace_highflow_4p0:902:568,70,902,902:storage_out:g4irsf11_c0:trace_highflow_4p0,52,50,17889.85845138915,17889,20702.14001138915,2813.1400113891505,2812.2815599999994,0,g4irsf7_original_pass_time->pass_time
trace_highflow_4p0:2670:569,67,2670,2670:storage_in:g4irsf11_c3:trace_highflow_4p0,4,47,20674.354790449153,20674,20674.354790449153,0.35479044915337,0.0,0,g4irsf7_original_pass_time->pass_time
trace_highflow_4p0:1226:570,68,1226,1226:storage_out:g4irsf11_c3:trace_highflow_4p0,52,50,18540.842066547684,18540,20700.051086547683,2160.0510865476826,2159.2090199999984,0,g4irsf7_original_pass_time->pass_time
trace_highflow_4p0:1132:571,69,1132,1132:storage_out:g4irsf11_c2:trace_highflow_4p0,52,50,18454.495030104565,18454,20700.509800104566,2246.5098001045662,2246.0147700000016,0,g4irsf7_original_pass_time->pass_time
trace_highflow_4p0:1132:572,69,1132,1132:storage_out:g4irsf11_c2:trace_highflow_4p0,52,50,18454.495030104565,18454,20700.509800104566,2246.5098001045662,2246.0147700000016,0,g4irsf7_original_pass_time->pass_time
trace_highflow_4p0:1226:573,68,1226,1226:storage_out:g4irsf11_c3:trace_highflow_4p0,52,50,18540.842066547684,18540,20700.051086547683,2160.0510865476826,2159.2090199999984,0,g4irsf7_original_pass_time->pass_time
trace_highflow_4p0:902:574,70,902,902:storage_out:g4irsf11_c0:trace_highflow_4p0,52,50,17889.85845138915,17889,20702.14001138915,2813.1400113891505,2812.2815599999994,0,g4irsf7_original_pass_time->pass_time
trace_highflow_4p0:1226:575,68,1226,1226:storage_out:g4irsf11_c3:trace_highflow_4p0,52,50,18540.842066547684,18540,20700.051086547683,2160.0510865476826,2159.2090199999984,0,g4irsf7_original_pass_time->pass_time
trace_highflow_4p0:902:576,70,902,902:storage_out:g4irsf11_c0:trace_highflow_4p0,52,50,17889.85845138915,17889,20702.14001138915,2813.1400113891505,2812.2815599999994,0,g4irsf7_original_pass_time->pass_time
trace_highflow_4p0:1226:577,68,1226,1226:storage_out:g4irsf11_c3:trace_highflow_4p0,52,50,18540.842066547684,18540,20700.051086547683,2160.0510865476826,2159.2090199999984,0,g4irsf7_original_pass_time->pass_time
trace_highflow_4p0:902:578,70,902,902:storage_out:g4irsf11_c0:trace_highflow_4p0,52,50,17889.85845138915,17889,20702.14001138915,2813.1400113891505,2812.2815599999994,0,g4irsf7_original_pass_time->pass_time
trace_highflow_4p0:2670:579,67,2670,2670:storage_in:g4irsf11_c3:trace_highflow_4p0,4,47,20674.354790449153,20674,20674.354790449153,0.35479044915337,0.0,0,g4irsf7_original_pass_time->pass_time
trace_highflow_4p0:1132:581,69,1132,1132:storage_out:g4irsf11_c2:trace_highflow_4p0,52,50,18454.495030104565,18454,20700.509800104566,2246.5098001045662,2246.0147700000016,0,g4irsf7_original_pass_time->pass_time
trace_highflow_4p0:902:582,70,902,902:storage_out:g4irsf11_c0:trace_highflow_4p0,52,50,17889.85845138915,17889,20702.14001138915,2813.1400113891505,2812.2815599999994,0,g4irsf7_original_pass_time->pass_time
trace_highflow_4p0:1226:583,68,1226,1226:storage_out:g4irsf11_c3:trace_highflow_4p0,52,50,18540.842066547684,18540,20700.051086547683,2160.0510865476826,2159.2090199999984,0,g4irsf7_original_pass_time->pass_time
trace_highflow_4p0:1132:584,69,1132,1132:storage_out:g4irsf11_c2:trace_highflow_4p0,52,50,18454.495030104565,18454,20700.509800104566,2246.5098001045662,2246.0147700000016,0,g4irsf7_original_pass_time->pass_time
trace_highflow_4p0:1132:585,69,1132,1132:storage_out:g4irsf11_c2:trace_highflow_4p0,52,50,18454.495030104565,18454,20700.509800104566,2246.5098001045662,2246.0147700000016,0,g4irsf7_original_pass_time->pass_time
trace_highflow_4p0:902:587,70,902,902:storage_out:g4irsf11_c0:trace_highflow_4p0,52,50,17889.85845138915,17889,20702.14001138915,2813.1400113891505,2812.2815599999994,0,g4irsf7_original_pass_time->pass_time
trace_highflow_4p0:1132:588,69,1132,1132:storage_out:g4irsf11_c2:trace_highflow_4p0,52,50,18454.495030104565,18454,20700.509800104566,2246.5098001045662,2246.0147700000016,0,g4irsf7_original_pass_time->pass_time
trace_highflow_4p0:1132:590,69,1132,1132:storage_out:g4irsf11_c2:trace_highflow_4p0,52,50,18454.495030104565,18454,20700.509800104566,2246.5098001045662,2246.0147700000016,0,g4irsf7_original_pass_time->pass_time
trace_highflow_4p0:2731:591,71,2731,2731:direct:g4irsf11_c1:trace_highflow_4p0,1,50,20753.054524792773,20753,20753.054524792773,0.05452479277300881,0.0,0,g4irsf7_original_pass_time->pass_time
trace_highflow_4p0:2731:592,71,2731,2731:direct:g4irsf11_c1:trace_highflow_4p0,1,50,20753.054524792773,20753,20753.054524792773,0.05452479277300881,0.0,0,g4irsf7_original_pass_time->pass_time
trace_highflow_4p0:2731:593,71,2731,2731:direct:g4irsf11_c1:trace_highflow_4p0,1,50,20753.054524792773,20753,20753.054524792773,0.05452479277300881,0.0,0,g4irsf7_original_pass_time->pass_time
trace_highflow_4p0:2731:595,71,2731,2731:direct:g4irsf11_c1:trace_highflow_4p0,1,50,20753.054524792773,20753,20753.054524792773,0.05452479277300881,0.0,0,g4irsf7_original_pass_time->pass_time
trace_highflow_4p0:2731:596,71,2731,2731:direct:g4irsf11_c1:trace_highflow_4p0,1,50,20753.054524792773,20753,20753.054524792773,0.05452479277300881,0.0,0,g4irsf7_original_pass_time->pass_time
trace_highflow_4p0:2731:597,71,2731,2731:direct:g4irsf11_c1:trace_highflow_4p0,1,50,20753.054524792773,20753,20753.054524792773,0.05452479277300881,0.0,0,g4irsf7_original_pass_time->pass_time
trace_highflow_4p0:2731:598,71,2731,2731:direct:g4irsf11_c1:trace_highflow_4p0,1,50,20753.054524792773,20753,20753.054524792773,0.05452479277300881,0.0,0,g4irsf7_original_pass_time->pass_time
trace_highflow_4p0:1226:600,68,1226,1226:storage_out:g4irsf11_c3:trace_highflow_4p0,52,50,18540.842066547684,18540,20700.051086547683,2160.0510865476826,2159.2090199999984,0,g4irsf7_original_pass_time->pass_time
trace_highflow_4p0:2774:602,72,2774,2774:direct:g4irsf11_c2:trace_highflow_4p0,3,49,20836.61767532374,20836,20836.61767532374,0.6176753237414232,0.0,0,g4irsf7_original_pass_time->pass_time
trace_highflow_4p0:2774:603,72,2774,2774:direct:g4irsf11_c2:trace_highflow_4p0,3,49,20836.61767532374,20836,20836.61767532374,0.6176753237414232,0.0,0,g4irsf7_original_pass_time->pass_time
trace_highflow_4p0:2774:604,72,2774,2774:direct:g4irsf11_c2:trace_highflow_4p0,3,49,20836.61767532374,20836,20836.61767532374,0.6176753237414232,0.0,0,g4irsf7_original_pass_time->pass_time
trace_highflow_4p0:2774:605,72,2774,2774:direct:g4irsf11_c2:trace_highflow_4p0,3,49,20836.61767532374,20836,20836.61767532374,0.6176753237414232,0.0,0,g4irsf7_original_pass_time->pass_time
trace_highflow_4p0:2774:606,72,2774,2774:direct:g4irsf11_c2:trace_highflow_4p0,3,49,20836.61767532374,20836,20836.61767532374,0.6176753237414232,0.0,0,g4irsf7_original_pass_time->pass_time
trace_highflow_4p0:2774:607,72,2774,2774:direct:g4irsf11_c2:trace_highflow_4p0,3,49,20836.61767532374,20836,20836.61767532374,0.6176753237414232,0.0,0,g4irsf7_original_pass_time->pass_time
trace_highflow_4p0:2818:608,73,2818,2818:storage_in:g4irsf11_c0:trace_highflow_4p0,53,47,20867.33226708336,20867,20867.33226708336,0.33226708335860167,0.0,0,g4irsf7_original_pass_time->pass_time
trace_highflow_4p0:2774:609,72,2774,2774:direct:g4irsf11_c2:trace_highflow_4p0,3,49,20836.61767532374,20836,20836.61767532374,0.6176753237414232,0.0,0,g4irsf7_original_pass_time->pass_time
trace_highflow_4p0:2818:610,73,2818,2818:storage_in:g4irsf11_c0:trace_highflow_4p0,53,47,20867.33226708336,20867,20867.33226708336,0.33226708335860167,0.0,0,g4irsf7_original_pass_time->pass_time
trace_highflow_4p0:2774:611,72,2774,2774:direct:g4irsf11_c2:trace_highflow_4p0,3,49,20836.61767532374,20836,20836.61767532374,0.6176753237414232,0.0,0,g4irsf7_original_pass_time->pass_time
