scenario,context,teacher_source,decision_ordinal,task_decision_ordinal,segment_id,task_id,current,next_label,goal,ready_time,route_suffix,label_kind,label_source,fault_state,repair_state,constraint_summary,candidate_next_nodes,safe_next_nodes,label_in_candidate,label_in_safe_mask,label_block_reason,executed_next,executed_kind,replay_action
legacy_offset64_merge32,merge_group,python_faithful_legacy_astar_event_trace,159,5,81:storage_in,81,18,22,47,13060.24528,18 22 24 27 28 47,move,python_faithful_legacy_astar,none,none,fault_edges=none|fault_windows=none|node_capacities=none|merge_groups=13->23:9;18->22:9,22,,True,False,edge_capacity+merge_group,18,hold,shield_hold
legacy_offset64_merge32,merge_group,python_faithful_legacy_astar_event_trace,160,2,84:storage_in,84,4,,47,13060.8454,,no_path,python_faithful_legacy_astar_no_path,none,none,fault_edges=none|fault_windows=none|node_capacities=none|merge_groups=13->23:9;18->22:9,17,,False,False,legacy_astar_no_path,4,hold,shield_hold
legacy_offset64_merge32,merge_group,python_faithful_legacy_astar_event_trace,161,6,81:storage_in,81,18,22,47,13061.24528,18 22 24 27 28 47,move,python_faithful_legacy_astar,none,none,fault_edges=none|fault_windows=none|node_capacities=none|merge_groups=13->23:9;18->22:9,22,,True,False,edge_capacity+merge_group,18,hold,shield_hold
legacy_offset64_merge32,merge_group,python_faithful_legacy_astar_event_trace,164,7,81:storage_in,81,18,22,47,13062.24528,18 22 24 27 28 47,move,python_faithful_legacy_astar,none,none,fault_edges=none|fault_windows=none|node_capacities=none|merge_groups=13->23:9;18->22:9,22,,True,False,edge_capacity+merge_group,18,hold,shield_hold
legacy_offset64_merge32,merge_group,python_faithful_legacy_astar_event_trace,167,8,81:storage_in,81,18,22,47,13063.24528,18 22 24 27 28 47,move,python_faithful_legacy_astar,none,none,fault_edges=none|fault_windows=none|node_capacities=none|merge_groups=13->23:9;18->22:9,22,,True,False,edge_capacity+merge_group,,none,mark_unplanned
legacy_offset64_merge32,merge_group,python_faithful_legacy_astar_event_trace,168,3,82:storage_in,82,18,22,47,13064.259440000002,18 22 24 27 28 47,move,python_faithful_legacy_astar,none,none,fault_edges=none|fault_windows=none|node_capacities=none|merge_groups=13->23:9;18->22:9,22,,True,False,edge_capacity+merge_group,18,hold,shield_hold
legacy_offset64_merge32,merge_group,python_faithful_legacy_astar_event_trace,177,4,84:storage_in,84,17,,47,13066.4454,,no_path,python_faithful_legacy_astar_no_path,none,none,fault_edges=none|fault_windows=none|node_capacities=none|merge_groups=13->23:9;18->22:9,18,,False,False,legacy_astar_no_path,17,hold,shield_hold
legacy_offset64_merge32,merge_group,python_faithful_legacy_astar_event_trace,178,4,83:storage_in,83,18,22,47,13067.088280000002,18 22 24 27 28 47,move,python_faithful_legacy_astar,none,none,fault_edges=none|fault_windows=none|node_capacities=none|merge_groups=13->23:9;18->22:9,22,,True,False,edge_capacity+merge_group,,none,mark_unplanned
legacy_offset64_merge32,merge_group,python_faithful_legacy_astar_event_trace,181,1,89:storage_in,89,4,,47,13067.84538,,no_path,python_faithful_legacy_astar_no_path,none,none,fault_edges=none|fault_windows=none|node_capacities=none|merge_groups=13->23:9;18->22:9,17,,False,False,legacy_astar_no_path,4,hold,shield_hold
legacy_offset64_merge32,merge_group,python_faithful_legacy_astar_event_trace,185,3,86:storage_in,86,18,22,47,13068.91217,18 22 24 27 28 47,move,python_faithful_legacy_astar,none,none,fault_edges=none|fault_windows=none|node_capacities=none|merge_groups=13->23:9;18->22:9,22,,True,False,edge_capacity+merge_group,,none,mark_unplanned
legacy_offset64_merge32,merge_group,python_faithful_legacy_astar_event_trace,186,1,91:storage_in,91,4,,47,13069.4367,,no_path,python_faithful_legacy_astar_no_path,none,none,fault_edges=none|fault_windows=none|node_capacities=none|merge_groups=13->23:9;18->22:9,17,,False,False,legacy_astar_no_path,4,hold,shield_hold
legacy_offset64_merge32,merge_group,python_faithful_legacy_astar_event_trace,188,6,84:storage_in,84,18,22,47,13070.0454,18 22 24 27 28 47,move,python_faithful_legacy_astar,none,none,fault_edges=none|fault_windows=none|node_capacities=none|merge_groups=13->23:9;18->22:9,22,,True,False,edge_capacity+merge_group,18,hold,shield_hold
legacy_offset64_merge32,merge_group,python_faithful_legacy_astar_event_trace,189,4,80:storage_in,80,13,,47,13070.361780000001,,no_path,python_faithful_legacy_astar_no_path,none,none,fault_edges=none|fault_windows=none|node_capacities=none|merge_groups=13->23:9;18->22:9,23,,False,False,legacy_astar_no_path,13,hold,shield_hold
legacy_offset64_merge32,merge_group,python_faithful_legacy_astar_event_trace,190,2,91:storage_in,91,4,17,47,13070.4367,4 17 18 22 24 27 28 47,move,python_faithful_legacy_astar,none,none,fault_edges=none|fault_windows=none|node_capacities=none|merge_groups=13->23:9;18->22:9,17,,True,False,edge_capacity,4,hold,shield_hold
legacy_offset64_merge32,merge_group,python_faithful_legacy_astar_event_trace,191,7,84:storage_in,84,18,22,47,13071.0454,18 22 24 27 28 47,move,python_faithful_legacy_astar,none,none,fault_edges=none|fault_windows=none|node_capacities=none|merge_groups=13->23:9;18->22:9,22,,True,False,edge_capacity+merge_group,18,hold,shield_hold
legacy_offset64_merge32,merge_group,python_faithful_legacy_astar_event_trace,192,5,80:storage_in,80,13,,47,13071.361780000001,,no_path,python_faithful_legacy_astar_no_path,none,none,fault_edges=none|fault_windows=none|node_capacities=none|merge_groups=13->23:9;18->22:9,23,,False,False,legacy_astar_no_path,13,hold,shield_hold
legacy_offset64_merge32,merge_group,python_faithful_legacy_astar_event_trace,193,3,91:storage_in,91,4,17,47,13071.4367,4 17 18 22 24 27 28 47,move,python_faithful_legacy_astar,none,none,fault_edges=none|fault_windows=none|node_capacities=none|merge_groups=13->23:9;18->22:9,17,,True,False,edge_capacity,4,hold,shield_hold
